param_n_estimators,param_max_depth,mean_test_score,std_test_score
150,20,0.9900541456707547,0.0016534780273672514
100,20,0.989621953225892,0.0013362650329263558
150,10,0.9694659983411859,0.004092253469480462
100,10,0.9675868955981191,0.0042404259697920756
